QUESTION,BT LEVEL
"John Watson passed away and left behind a legal child, Mary Watson, as well as two girlfriends, Susan and Petty, who were in their 8 week of gestation. Susan claimed that she bore an illegitimate child of John Watson. Propose and design the most suitable paternity experiment to prove Susan's claim. You may outline your experiment using schematic diagram(s). ",Synthesis
Discuss the extent to which Value Chain Analysis can be applied in the logistics sector.,Application
Money growth is always interrelated with inflation phenomenon. Explain how the growth of money will affect the economy when the economy is operating at the full capacity. Illustrate by using an appropriate diagram.,Analysis
"Besides LOCOS, name TWO (2) other applications which require thermal processes. ",Comprehension
Develop a proof ... and justify each step ... ,Evaluation
Examine the two roles and show how newspaper managers can successfully draw a balance between their economic role and social role.   ,Analysis
Evaluate the benefits and drawbacks of artificial drainage. ,Evaluation
Invent a machine to do a specific task.,Synthesis
List important information you can remember from lesson….,Knowledge
Explain why mycorrhizal fungi are important for phosphorus availability in soil. ,Comprehension
Calculate the level of output needed to be achieved by Cambodia in order to maintain a balanced trade account.,Application
Prepare a research  proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the Klang Valley.,Synthesis
Define the Demographic characteristics.,Knowledge
Briefly describe the general properties of plastic in terms of strength and durability. Comment also why plastic is not suitable to use as reinforcement bar for concrete structure. ,Evaluation
Describe what took place as the Hato was sinking.,Comprehension
State the guidelines to design an anodic protection system,Knowledge
Paraphrase what Hamlet is saying in his soliloquy.,Comprehension
How many states are there in USA,Knowledge
Explain how the heart is like a pump.,Comprehension
"Differentiate the properties between clay brick and autoclave aerated concrete (AAC) block in term of compressive strength, density, colour, acoustic performance and thermal insulation. ",Analysis
Justify why company XYZ needs to use expert systems,Evaluation
List four traits commonly used for the development of transgenic crops.,Knowledge
"Name the amino acid residues with the single letter code ""EQRNHL"". ",Knowledge
"How do I differentiate between ""deceive"" and ""cheat on""?",Analysis
"Illustrate  by  using  a  real  life  example  on  the  possible  relationship between data, information and knowledge.",Comprehension
Describe the electrokinetic phenomenon. ,Comprehension
How can you categorize ____ according to...?,Analysis
Describe  briefly  how  an  image  can  be  represented  by  chain  coding  and moments.,Comprehension
State and discuss on the general features of authoring tool.,Comprehension
Describe the main disadvantage of palm oil with an indigenous broad melting interval ranging from -20 to 50°C. Refined palm oil is further processed to improve its marketable value. Discuss this process in relation to the secondary products from refined palm oil. ,Comprehension
Draw the hexapeptide Gly-Phe-Asp-Leu-Ala-Glu. Identify the formation of hydrogen bonding in an a-helix form of this hexapeptide.,Comprehension
"Write an appropriate learning outcome to teach “in”, “on”, beside', 'opposite and 'under. ",Comprehension
Each of the FOUR (4) different historical perspectives have a unique outlook on Educational Technology and defines it in a slightly different way. List and discuss the FOUR (4) perspectives. ,Comprehension
State the conditions necessary for the formation of enzyme's quaternary structure. Explain how quaternary structure could contribute to enzyme stability. ,Comprehension
Compare the electrical conductivity of an insulator and a semiconductor at room temperature by using the energy band diagram. ,Comprehension
Sleep is a local phenomenon. Explain how this is possible. Provide TWO (2) examples to illustrate this. ,Comprehension
The key success of Arnold Palmer Hospital is its implementation of Total Quality Management (TQM) Programme. Describe FIVE (5) principles of TQM Programme which have been adopted by the aforesaid hospital. ,Comprehension
Critically analyze and discuss the problems with secondary data. Provide relevant examples to support your answer.,Analysis
Relate cycle-time reduction to improved performance. Justify your answer.,Evaluation
Describe the output of this program fragment:,Comprehension
Define profit. Briefly explain how accounting profit is different from economic profit.,Comprehension
Categorize FIVE (5) advantages of multimedia in primary school education. ,Comprehension
Identify ONE (1) most likely error of the following quotation.,Knowledge
Define 2 dimensional and 3 dimensional designs. ,Knowledge
"Explain why bogs are considered to be a ""carbon sink"". ",Comprehension
Name two super secondary structures found within enzymes which involved formation of a-helices. Describe how the a-helices could be maintained in an enzyme. ,Comprehension
Discuss any FOUR (4) underlying principles of lean manufacturing approach. ,Comprehension
Illustrate type driven layout design for a poster. ,Comprehension
List any THREE (3) pairs of system functions that should be separated in the centralized computer services organization and describe a risk exposure if the functions are not separated. ,Comprehension
State the four different bias modes of a BJT and explain how they are obtained. ,Comprehension
Compose a device that would assist an athlete in their training.,Synthesis
E-mail newsletters are still popular communication strategy for digital marketers. Suggest FIVE (5) ways to engage with your newsletters subscribers. ,Synthesis
How would you classify the geographic location of your school,Comprehension
Analyze the effect of similarity-dissimilarity on attraction by using TWO (2) theories. ,Analysis
Evaluate board games and justify why rules are important.,Evaluation
Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j – 1] + 2;else alpha[j] = alpha[j – 1] + 3;},Analysis
Draw a picture of the bears' house.,Application
Write short notes on the structure and functions of polysaccharides by giving relevant example. ,Comprehension
Define the term Radio Frequency Identification (RFID).,Knowledge
"With respect to the data processing cycle of an organisation, explain the ""garbage in, garbage out"". Briefly discuss on the measures to be taken by the companies to avoid “garbage in"" data input errors. ",Comprehension
Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly. ,Analysis
Describe in your own words how to borrow a book from the library.,Comprehension
What factors would you change if . . .?,Application
Explain FOUR (4) benefits of using Digital-Out-Of-Home in advertising. ,Comprehension
Pre-cast concrete retaining walls may be constructed with any or all of the joints. Describe the THREE (3) types of joints used. ,Comprehension
Differentiate between qualitative research and quantitative research in terms of their goal and design.,Analysis
State which market structure adopts this practice. List and briefly explain what are the conditions needed for this practice to be successful.,Comprehension
Explain three (3) ways in which JIT and quality are related. ,Comprehension
Apply the run length encoding on the token stream.,Application
State THREE traits that are associated with invasive plants.,Knowledge
State FOUR (4) basic business activities that are performed in the revenue cycle.,Knowledge
Create an advertising campaign,Synthesis
Write FOUR (4) purposes of poster. ,Knowledge
Briefly  discuss  how  TQM  could  be  applied  m  the  management  of  the newspapers' editorials.,Application
Discuss FOUR (4) reasons why Capital Asset Pricing Model (CAPM) is not the best model to estimate returns. ,Comprehension
Differentiate between contact and systemic herbicides. ,Analysis
"Evaluate a work of art, giving the reasons for your evaluation.",Evaluation
Determine  which  sub-stage that the  deal  is currently  in for the  following cases.,Application
Name the two classes of monosaccharide. Draw and name the simplest structure of molecule in each class. ,Comprehension
Name the following conserved amino acids with their corresponding single letter codes: WMEADK.,Knowledge
Define and explain reinvestment risk with an example. ,Comprehension
Describe SIX (6) factors that are affecting supply in the construction industry. ,Comprehension
Explain THREE (3) differences of Red Green Blue (RGB) and Cyan Magenta Yellow (CMY).,Comprehension
Explain the basic concepts in construction economics as introduced by Myers (2017).,Comprehension
How much data can be stored in the cach memory,Knowledge
Define allelopathy and list how allelopathic substance enters the environment. ,Comprehension
Give ONE example of aspartic protease. Describe the mechanism of aspartic protease in relation to how pH affects its activity. ,Comprehension
Draw a Picture Window layout design. ,Comprehension
Provide THREE (3) examples of input devices.,Knowledge
"Provide a guideline for effective use of photography of display materials"" in teaching of English language. ",Comprehension
"Calculate the total cost per year, including the cost of the lights. ",Application
Discuss the effectiveness of using Expression Language (EL) compared to other methods in JSP.,Analysis
"Draw the band diagram of a reverse biased pn junction. With reference to the band diagram and charge carriers, explain why there is negligible current flow in the diode. ",Comprehension
Briefly  discuss  how  TQM  could  be  applied  m  the  management  of  the newspapers' editorials.,Application
Banks act as an important institution in the financial system. Briefly explain what a bank run is and provide THREE (3) causes that lead to its occurrence. ,Comprehension
Define the term 'Production Possibility Curve' as used in the timber and steel factory. ,Knowledge
Explain TWO (2) components of art. ,Comprehension
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",Evaluation
Briefly discuss any THREE (3) specific internet technologies or tools that are commonly found in providing support for business activities.,Comprehension
CATH and SCOP are databases that hierarchically classify protein domains according to their structures. Describe the CATH protein classification system. ,Comprehension
How do teenagers use code in emails and instant messages?,Application
How would you classify the type of ...?,Comprehension
Explain why it is important for the width of the base quasineutral region to be small compared to the minority carrier diffusion length in the operation of a BJT.,Comprehension
Briefly describe how riparian forests help in  reducing nitrate contamination in rivers reducing nitrate and streams. ,Comprehension
Analyze safe and dangerous aspects of these features.,Analysis
Choose and illustrate the two most important events in the story.,Evaluation
Comment on the validity of your answer.,Evaluation
Discuss the significance of hydrophobicity plot in transmembrane protein research. ,Comprehension
"Describe dictogloss and how it can be used to teach listening, writing and  speaking skills for intermediate proficiency students. ",Comprehension
Make up a new language code and write material using it.,Synthesis
Leaders  often  face  a  dilemma  because  of  a  perceived  conflict  between  the realm of business and the realm of ethics. Compare the characteristics  of leaders who follow a strict rational  self-interest  approach  with  those  who take an ethical approach.,Analysis
Critically discuss how demographic characteristics would affect a product development in a foreign market.,Analysis
"""Microsatellite tandem repeats are abundant in human promoters and are associated with regulatory activity (Sawaya et al., 2013).” Discuss the statement and support your views with examples. ",Evaluation
Describe nuclear transport to a lay person.,Comprehension
What criteria would you use to evaluate if your answer is correct?,Evaluation
Distinguish facts from hypotheses,Analysis
Briefly describe FIVE (5) general types of factors of production.,Comprehension
"Prepare a case to present, and evaluate your view about ...",Evaluation
Write short notes on the structure of RNA. ,Comprehension
Suggest any THREE (3) specific ways with elaborations on how this new business may utilize the Internet technology to achieve cost efficiency.,Synthesis
Explain the development process for a building construction.,Comprehension
"In soil pH, define buffering and explain why it is important in soils. ",Comprehension
Suggest any FIVE (5) dimensions of service quality that could be taken into consideration by the kindergarten management for its future operations improvement. ,Synthesis
Describe the Pareto Principle in statistical software quality assurance.,Comprehension
There are TWO (2) common methods used in the semiconductor industry to fabricate single crystal silicon. Analyze the advantage and disadvantage of both methods. ,Analysis
Define solvency and liquidity. Give some simple strategies that banks can follow to avoid insolvency or illiquidity. State reasons banks might option not to adopt these strategies. ,Comprehension
Explain in one's own words how to create a query in a database.,Comprehension
"Based on your knowledge, describe TWO (2) foreign bonds that are well known in the market. ",Knowledge
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,Evaluation
Can you solve the following problem ,Application
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Comprehension
Recall the following pictoral example of an implementation of some queue operations,Knowledge
Define brand audit.,Knowledge
Summarize a story in own words.,Comprehension
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluation
How would you differentiate a project from a program,Analysis
"Explain one (1) major advantage, and one (1) major disadvantage, of a fixed period system. ",Comprehension
Explain THREE (3) reasons why AD curve is downward sloping.,Comprehension
"From your opinion, explain which one of the methods mentioned earlier is better for the given token stream.",Analysis
Suggest THREE (3) ethical considerations that ANA advertisers should take into account in designing commercials.,Synthesis
Support your answers with ONE (1) example in everyday life for each strategy. ,Evaluation
"Compare between URL, re-writing and Hidden Form field methods in respect of similarities and differences in the context of session management in Web environment.",Analysis
How would you change the story to create a different ending?,Synthesis
Briefly explain why formation of solid forms in final product such as glasses and bottles in glass industry is a disadvantage. ,Comprehension
Memorize and recall the periodic table,Knowledge
Identify PayPal's business model.,Knowledge
Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,Comprehension
Briefly describe TEN (10) general characteristic of hardened concrete. ,Comprehension
List reserved words in C programming.,Knowledge
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluation
If you had access to all resources how would you deal with . . .?,Synthesis
Suggest any THREE (3) specific ways with elaborations on how this new business may utilize the Internet technology to achieve cost efficiency.,Synthesis
Calculate the inventory turnover. ,Application
Describe SIX (6) functional requirements of walls. ,Comprehension
Discuss  the role  of  restriction  and  aggregation  in reducing  the  quantity  of data and obtaining useful information from a data warehouse.,Comprehension
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,Application
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",Evaluation
How was life different in your town 100 years ago?,Analysis
Briefly explain FOUR (4) advantages and disadvantages of option trading. ,Comprehension
Judge the value of . . .?,Evaluation
Make a radio announcement that advertise the book. Write it out.,Synthesis
State two differences between a JFET and a BJT. ,Comprehension
Distinguish between 'Trench' and 'Pier holes/ Pits' construction excavation. ,Analysis
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Application
Can you defend your position about . . .?,Evaluation
Write a letter to the editor on a social issue of concern to you.,Synthesis
Explain the creation of an electron-hole pair in an intrinsic Si semiconductor at room temperature by using the covalent bonding picture. ,Comprehension
"Based  on  your  understanding,  highlight  THREE  (3)  differences  between vector graphics and bitmap images.",Comprehension
Give the enzyme group number and name for acetylcholine esterase. Describe the non-covalent interactions used by acetylcholine esterase for substrate binding.,Comprehension
Suggest a technique that can overcome the problem of non-reusability for industrial enzyme applications. ,Synthesis
Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom. ,Analysis
Explain the components of CRM that Citibank used.,Analysis
State your recommended solution with justification.,Evaluation
Formulate the profit for the company. ,Synthesis
"Explain the trading behavior of hedger, speculator and arbitrageur.",Comprehension
Describe the three (3) ways in which JIT and quality are related. ,Comprehension
Express the rule in function notation,Comprehension
"""Economists state that both allocative and productive efficiencies are realized in the long-run equilibrium of a monopolistically competitive market"". State whether you agree or disagree with the statement. Graphically illustrate and explain the statement. ",Analysis
About what proportion of the population of the US is living on farms?,Knowledge
Name the artist who painted the Mona Lisa.,Knowledge
List FOUR conditions required in order for an animal population to remain at Hardy-Weinberg equilibrium.,Knowledge
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,Knowledge
Discuss why the fertility program for potted plants is different from field crops. ,Comprehension
Express the following systems in matrix form,Comprehension
List the characteristics peculiar to the Cubist movement.,Knowledge
"Discuss, using appropriate examples, how OLAP operations would benefit in the credit card company.",Comprehension
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and South Africa.,Comprehension
Select a local 'HOMEGROWN' brand and discuss its international marketing mix.,Comprehension
Explain the CRM implementation in Chola MS.,Comprehension
Which of the following is the method for determining the volume of a cylinder?,Knowledge
"Base on the case study given, summarize THREE (3) ISM security problems.",Comprehension
Analyze the characteristics of frogs.,Analysis
Discuss the roles of construction industry in a country's growth. Provide evidences on how construction industries worldwide have contributed to the economic growths of their respective countries to enhance your discussions.,Analysis
Describe the circumstances when tertiary treatment of wastewater is necessary. ,Comprehension
Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,Synthesis
Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points. ,Comprehension
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluation
Use Gauss’ Law to find the electric field between the plates when the charge on them is Q,Application
Propose TWO (2) strategies to resist persuasion. ,Synthesis
 would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Comprehension
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,Evaluation
Market research firms and product review sites are examples of infomediary. Discuss the role and benefits of an infomediary model in the online distribution system. ,Comprehension
Informal communication network roles are equally important as formal ones. Describe any FOUR (4) of the influential roles and discuss the benefits each of the roles can bring to organizations. ,Comprehension
Explain the packaging and labeling decisions. ,Comprehension
Summarize Jem’s beliefs about Boo Radley,Comprehension
Are there students who should not use the Cornell method?,Evaluation
Define “biogeochemical cycling” and discuss its importance to the ecosystem and survival of living organisms. ,Comprehension
"Just-in-time (JIT) attempts to remove delays, which do not add value. Explain how JIT copes with weather and its impact on crop harvest and transportation times. ",Comprehension
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,Evaluation
Highlight  THREE  (3) differences  between  bitmap  images  and  vector  graphics.,Comprehension
Assume that Japan is currently operating at the natural level of output. Investor is optimistic about the future due to the outstanding performance in the stock market. Explain the effect of event to the price level and output level in the short run and long run in Japan by using an appropriate diagram.,Comprehension
"For any points which fall outside the curve, explain the combination of production for steel and bricks. ",Comprehension
Briefly explain the Auger process. ,Comprehension
PEST and SWOT are popular strategy tools. Discuss how the TWO(2) tools can be applied in manufacturing business environment.,Application
Define the basic concepts of Educational Technology. ,Knowledge
Explain why a 30-second video clip (containing 25 frames per second) will occupy less disk space than 750 JPEG images of the same size.,Comprehension
Immobilization enables industrial enzymes to be used repeatedly. List THREE advantages of immobilized enzyme and give an example of large scale application of immobilized enzyme in industry.,Comprehension
Propose any TWO (2) alternative solutions from organization structures perspective to facilitate the KM practice. Justify your answers with short elaborations.,Evaluation
 How do we differentiate between an interview and an interrogation?,Analysis
Discuss the advantages and disadvantages of using laccase-based de colorization treatment.,Comprehension
Compare and contrast animals that the class has made.,Analysis
How would you express ________________?,Comprehension
Critically analyze and discuss the problems with secondary data. Provide relevant examples to support your answer.,Analysis
Synthesize the need for ventilation as an engineering control.,Synthesis
Create a new product. Give it a name and plan a marketing campaign.,Synthesis
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,Evaluation
Show in a step by step manner how TQM can be implemented successfully in education sector.,Application
Compare Zener breakdown with avalanche breakdown in a pn junction and state THREE differences. Name a device that utilizes each breakdown mode. ,Analysis
Contrast B-mode and A-mode ultrasound systems. ,Comprehension
Igneous rock can be formed either underground or above ground. Elaborate. ,Comprehension
Explain how RFID provides value to businesses.,Comprehension
How is . . . similar to . . .?,Analysis
Explain the consideration of pricing objectives in marketing mix. ,Comprehension
Determine the values of government multiplier and tax multiplier in open economy for Japan. Explain which multiplier has greater impact on the economy. ,Application
Calculate the number of bytes required to store a minute of stereo sound at DVD quality with the resolution of 32 bits. Show your working and calculation.,Application
Explain the main difference between uncompetitive and noncompetitive inhibitors. ,Comprehension
Contrast TWO (2) differences between a data mart and a data warehouse.,Analysis
Discover FOUR (4) characteristic of IT infrastructure to be considered.,Synthesis
Explain FOUR (4) benefits of mutual fund investment. ,Comprehension
Suggest a type of metal for reinforcing a concrete structure.,Synthesis
Explain in detail the Maslow Hierarchy of Needs. ,Comprehension
"Using Marginal approach, explain and identify how many unit of CD players should the firm producer per day if its goal is to maximize its profit.",Application
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Propose an adsorption column chromatography technique which could retain protein X but elute other contaminants at pH 7. State your assumption(s). ",Synthesis
Explain the differences between ethical dilemma and ethical lapse.,Comprehension
Calculate the variance of orders for the glass bottles. ,Application
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. Describe some potential complications during Edman degradation protein sequencing. ,Comprehension
Define teachers' Pedagogical Reasoning Skills and explain how it helps teachers use instructional materials in classroom. ,Comprehension
Describe characteristics and importance of secondary market. ,Comprehension
"Market anomalies are research findings that do not support market efficiency hypothesis; that is, they are evidence that inefficiencies do exist. Discuss FIVE (5) common market anomalies. ",Comprehension
"Give FIVE (5) examples of how a song can enhance a literature class, with an elaboration for each example given. ",Comprehension
Support your views with TWO (2) examples in everyday life for each tactic. ,Evaluation
"Critically review the strengths, weaknesses,  opportunities and threats of Associated Meats Sdn Bhd in light of the forecast trends and developments.",Evaluation
List and explain TWO simple techniques used to prepare colloids by mean of dispersion. Use simple diagrams to clarify the explanation.,Comprehension
Construct an analog circuit with the following specifications,Application
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Knowledge
"Construct a DNA based cladogram using neighbour-joining approach, and suggest the relationship of S, M, and D species. ",Synthesis
Scaling methods can improve the performance of the web site. Propose to Jane which scaling method suit her current business needs. Justify your answer.,Evaluation
How does Hawaii contrast and compare to Florida?,Analysis
Examine how conventional newspaper can continue to maintain its circulation with the easy access to alternative information on the web.,Analysis
Tell how Phillip kept himself alive after Timothy died.,Comprehension
How can you distinguish the different parts of_____?,Analysis
Investigate whether or not the system can be solved for x; y; z ,Analysis
Write what you might have done.,Application
Restate the Olympic motto in your own words.,Comprehension
"Three sales sub-stages: qualification, proposition and negotiation are included in both OpenERP and SugarCRM, before a deal is won. Give a brief description of these sub-stages.",Comprehension
Explain 4P's of marketing. ,Comprehension
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia. ,Comprehension
Classify animals into two groups.,Comprehension
Justify the title To Kill a Mockingbird .,Evaluation
Determine the type of MOSFET. ,Application
"Compare how the internal rate of return (IRR) method, Net Present Value (NPV) and modified internal rate of return (MIRR) method is different.",Analysis
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,Evaluation
Name three 19th-century women English authors.,Knowledge
Explain how human capital can lead to economic growth. ,Comprehension
Solve the following optimization problem by using the golden section search method and terminate the computation when the length of the interval.  ,Application
Compare the formation process between igneous rock and sedimentary rocks. ,Comprehension
How to specify the impact energy and impact test temperature of the material in the Code,Application
Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy. ,Application
Explain the case study research method and distinguish between single and multiple case study design.,Analysis
In one sentence explain the main idea of a written passage.,Comprehension
Illustrate what you think the main idea was.,Comprehension
Compose a complete C program that reads text strings from a text file into a suitable data,Synthesis
how the investigation was undertaken,Analysis
Briefly explain what a Repo is. ,Comprehension
Identify  THREE  (3) possible  threats  you  should  anticipate  for this Internet-based business.,Comprehension
Give TWO examples of natural and artificial means of the seed dispersal of weeds respectively. ,Comprehension
"Davenport (2000) discusses four emerging trends to be considered in designing future enterprise systems. Analyze each emerging trend, its relevance and importance to the designing of future enterprise systems.",Analysis
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Application
Briefly describe TWO mating methods of commercial importance for the production of fertilised eggs from breeder birds. ,Comprehension
Compare and contrast continuous and discontinuous replications. ,Analysis
Evaluate your sketch with ADDIE's model procedure.,Evaluation
Describe the significance of concrete as a primary material in today's construction. ,Comprehension
"By using appropriate diagrams, explain how a decreasing cost industry affects the long-run supply curve in a perfectly competitive market.",Comprehension
List THREE factors that influence the type of irrigation used in agriculture. ,Knowledge
Create several different strategies to solve a mathematical problem. ,Synthesis
"“Goods and services design could help manufacturers to gain competitive advantages."" Justify the statement with any THREE (3) strategies. ",Evaluation
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,Comprehension
Explain how SWOT and Porter's techniques is applied in the manufacturing industries.,Application
"If your story happened in a foreign land, compare that land to the United States.",Analysis
"If an electron in a hydrogen atom jumps from the first excited state to ground state, find the wavelength of the photon emitted. ",Comprehension
"Justify the following statement. ""It is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same time”. ",Evaluation
How would you create/design a new...?,Synthesis
Determine the economic order quantity.,Application
State TWO types of enzyme specificities that do not agree with lock and key model. Explain your answer.,Comprehension
Define electronic commerce.,Knowledge
"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",Knowledge
State a main difference between a customer and a contact.,Comprehension
Name the TWO ways of how molecules bonded to surface. Provide a brief description on the modes of adsorption. ,Comprehension
Describe FIVE (5) key players in advertising. ,Knowledge
Define Classical approach and Human Relations approach. ,Knowledge
Comment on the introduction of seven “_” in the alignment. ,Evaluation
"Use Porter's five competitive forces to analyze FiredUp, Inc.",Application
Describe Renaissance art style. ,Knowledge
"Define and discuss the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation by identifying the situations in which each measure is the most appropriate measure. ",Application
Define CRM and discuss how the CRM can be implemented in the business environment.,Application
State what does the symbol “+” represents. ,Knowledge
Explain the main purpose of LOCOS. ,Comprehension
Explain the significance of the position of rubber-synthesizing cis prenyltransferases in the structure of a rubber particle. ,Comprehension
Describe whether the soil is contaminated or polluted. ,Comprehension
Calculate Jensen's measure (Jensen's alpha). Use it to assess the performance of the AOV's Portfolio during the year just ended. ,Application
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Comprehension
"Given the data available on a research question, take a position and defend it.",Evaluation
Give ONE common crossbreed for porker production in Malaysia and name the state in Peninsular Malaysia that has the highest production rate. ,Comprehension
Personalization is becoming an important element in Electronic Commerce. Explain TWO (2) techniques that can be used to learn about consumer behavior and how it can be used to facilitate customer service.,Comprehension
Discuss how Resource Based View can be implemented in organizations to reinforce financial standing.,Application
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,Evaluation
"Considering linear multimedia and interactive multimedia, suggest the best solution to the shopping mall's management.",Synthesis
Define privacy.,Knowledge
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysis
What happens if you change the direction of the displacement (but not its size)?,Application
Discover FOUR (4) characteristic of IT infrastructure to be considered.,Synthesis
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluation
State how to find a word in a dictionary,Knowledge
Propose  and justify ONE  (1)  international market-entry strategy  that   you   may   consider   to market your   products internationally.,Evaluation
List the __________________ in descending order,Knowledge
Name and describe the two ways that the data source window allows data to be viewed.,Comprehension
Describe the industrial application of enzymes in beer production. ,Comprehension
Write an assignment statement that disables a radiobutton named radioButton.,Comprehension
Write FIVE (5) types of lines. ,Knowledge
"Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",Analysis
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,Application
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Comprehension
Draw ONE (1) organic shape and ONE (1) geometric shape. Apply tone and shading.,Application
Decide whether you learned enough about electricity from this book.,Evaluation
Conclude and support which economic system leads to a higher standard of living.,Evaluation
You have been assigned by your employer to manage their Instagram and Facebook business page. Suggest FIVE (5) ways to increase engagement with your social media users. ,Synthesis
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,Evaluation
Define the transition state and activation energy in relation to catalytic power of an enzyme. ,Comprehension
Discuss any THREE (3) advantages why digital video is preferred for video editing and post production.,Comprehension
Explain the psychological factors which influence consumer behavior. ,Comprehension
Construct a confusion matrix for the data and estimate the Apparent Error Rate. ,Comprehension
Sketch a typical absorption process in a packed column with regeneration in form of,Application
Identify the five major prophets of the Old Testament.,Knowledge
The oil palm (Elaeis guineensis) is an erect monoecious plant. Describe how its inflorescences develop into fruit and relate this to the pest control practice that could affect the productivity of the oil palm. ,Comprehension
"In maintaining concrete quality, identify SEVEN (7) good practices on site. ",Knowledge
A cascade of zymogen activation occurs both with digestive proteases and blood clotting proteases. List THREE advantages of this activation.,Knowledge
Draw a front and back for business card layout. ,Comprehension
Thomas (1976) has identified five styles in resolving a conflict such as avoidance. Explain the other FOUR (4) styles in resolving a conflict. ,Comprehension
Draw an illustration of the linked list after the execution of each of the statement below. (Use the original illustration for each question).,Application
Differentiate between “trial pits' and 'boreholes”. ,Analysis
Discuss TWO hypotheses for invasive plants to become successful outside of their native ranges. ,Comprehension
Categorize the story into parts and think of a good title for each of the parts.,Analysis
How many instructions in the instruction set of RISC computer?,Knowledge
Define pixel.,Knowledge
How would this story be different if it had happened in a different country?,Analysis
Discuss SIX (6) considerations before choosing the foundation type. ,Comprehension
Draw and label a diagram of a typical stream.,Knowledge
Illustrate the advantages of plastic material and its applications in construction. ,Comprehension
How does one specify the syntactical restrictions,Application
How could you re-write this story with a city setting?,Synthesis
Explain the role of mesofauna in the decay of fresh organic matter.,Comprehension
Identify  THREE  (3) possible  threats  you  should  anticipate  for this Internet-based business.,Comprehension
Give an example of trait and phenotype to describe a Belgian Blue. ,Comprehension
Use the rule for a semicolon in a sentence.,Application
in what ways trajectory patterns differ according to ABC,Analysis
Explain in one sentence what the method incFromN does,Comprehension
"Discuss  how  data  mining  operations  which  are  classification,  association, clustering and anomaly detection can be deployed in a variety of industries.",Application
Illustrate by using appropriate diagram(s) the effects of the most commonly and the least used monetary policy tool on the market interest rate if the central bank implements the expansionary monetary policy.,Comprehension
"State any TWO (2) of Malaysia's rules, regulations or standards which are related to scaffolding and falsework. ",Comprehension
Explain what is meant.,Comprehension
Recall basic math facts,Knowledge
